log2FoldChange	ENTREZID	SYMBOL
-1.38407427197594	55714	TENM3
-1.26040115657924	80005	DOCK5
3.21931283724304	64167	ERAP2
1.38711112463537	84301	DDI2
1.34542883478964	79677	SMC6
2.10454152576575	221079	ARL5B
1.06384554081508	80124	VCPIP1
3.50623647786434	3569	IL6
1.63315051188096	2035	EPB41
2.74969691080523	80765	STARD5
-1.16594331899625	57539	WDR35
2.61850736464731	375287	RBM43
0.964263443325981	9209	LRRFIP2
0.998134870525392	5690	PSMB2
4.20035314121802	92610	TIFA
0.75850847115856	55720	TSR1
5.84822382303341	5625	PRODH
-1.15740963863507	6586	SLIT3
1.26212956573071	10950	BTG3
1.44376025834642	5998	RGS3
1.90672948281084	54386	TERF2IP
-1.25279429223671	259230	SGMS1
-1.29396739118276	987	LRBA
1.0966713166794	124801	LSM12
1.13940262210688	23023	TMCC1
-0.659176656480552	7337	UBE3A
1.22850823824347	81542	TMX1
2.26786965416804	55196	KIAA1551
0.899023870845561	7494	XBP1
-1.44671081391245	57544	TXNDC16
0.826669793123547	7048	TGFBR2
0.966153581910698	29761	USP25
1.9125670277926	669	BPGM
1.88686101602249	3660	IRF2
-2.32106013132859	259232	NALCN
-1.30264683737871	23433	RHOQ
5.78831698494683	118788	PIK3AP1
-1.72752845454583	6509	SLC1A4
1.78306741314218	8553	BHLHE40
1.60231294723332	79668	PARP8
-0.789727247204445	1362	CPD
1.17506132981385	56886	UGGT1
-0.969801781803864	253461	ZBTB38
-1.94495241953596	1301	COL11A1
2.15799772773174	23286	WWC1
1.11335028533591	52	ACP1
1.97512763425616	9076	CLDN1
-2.3076970799648	255394	TCP11L2
-1.23396935325701	51232	CRIM1
-1.51405717155539	22859	ADGRL1
1.84190486920674	6446	SGK1
-1.16678575362493	115557	ARHGEF25
-1.34811677534719	57608	KIAA1462
-2.97062403118761	7164	TPD52L1
1.93860866476895	6515	SLC2A3
1.2327445780657	7025	NR2F1
0.85718402504232	163590	TOR1AIP2
0.797123717755401	1984	EIF5A
1.9511978027954	89795	NAV3
4.11342187166474	6891	TAP2
